image_path,label,exists
./data/wheat-plant-diseases/data\train\Aphid\.ipynb_checkpoints,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_0.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_1.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_10.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_100.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_101.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_102.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_103.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_104.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_105.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_106.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_107.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_108.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_109.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_11.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_110.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_111.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_112.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_113.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_114.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_115.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_116.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_117.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_118.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_119.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_12.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_120.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_121.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_122.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_123.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_124.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_125.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_126.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_127.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_128.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_129.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_13.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_130.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_131.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_132.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_133.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_134.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_135.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_136.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_137.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_138.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_139.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_14.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_140.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_141.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_142.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_143.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_144.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_145.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_146.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_147.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_148.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_149.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_15.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_150.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_151.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_152.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_153.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_154.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_155.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_156.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_157.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_158.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_159.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_16.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_160.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_161.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_162.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_163.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_164.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_165.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_166.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_167.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_168.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_169.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_17.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_170.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_171.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_172.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_173.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_174.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_175.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_176.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_177.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_178.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_179.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_18.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_180.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_181.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_182.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_183.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_184.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_185.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_186.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_187.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_188.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_189.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_19.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_190.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_191.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_192.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_193.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_194.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_195.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_196.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_197.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_198.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_199.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_2.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_20.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_200.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_201.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_202.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_203.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_204.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_205.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_206.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_207.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_208.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_209.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_21.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_210.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_211.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_212.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_213.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_214.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_215.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_216.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_217.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_218.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_219.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_22.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_220.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_221.png,Aphid,True
./data/wheat-plant-diseases/data\train\Aphid\aphid_222.png,Aphid,True
